tempo,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc_delta1,mfcc_delta2,mfcc_delta3,mfcc_delta4,mfcc_delta5,mfcc_delta6,mfcc_delta7,mfcc_delta8,mfcc_delta9,mfcc_delta10,mfcc_delta11,mfcc_delta12,mfcc_delta13,mfcc_delta14,mfcc_delta15,mfcc_delta16,mfcc_delta17,mfcc_delta18,mfcc_delta19,mfcc_delta20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,tonnetz7,tonnetz8,tonnetz9,tonnetz10,spectral_contrast1,spectral_contrast2,spectral_contrast3,spectral_contrast4,spectral_contrast5,spectral_contrast6,spectral_contrast7,spectral_contrast8,spectral_contrast9,spectral_contrast10,spectral_contrast11,spectral_contrast12,spectral_contrast13,filename_label,manele
123.046875,0.41164076,0.4139788,0.26097244,0.3278894,0.26714844,0.43638423,0.348566,0.22432084,0.28031972,0.32923234,0.42975524,0.29430622,0.16391484,2445.497629,2801.964394,5717.924664,0.08430315,-107.29749,91.473595,21.529047,12.663247,10.791095,5.858037,5.9546328,-0.9033332,-1.2434171,10.476784,-8.279178,2.1222634,-3.8174667,0.8904104,-6.861981,-0.099177495,-4.3559446,0.58677673,-0.5858593,4.8218226,1.08E-08,-6.74E-10,-3.71E-09,-2.78E-09,-3.37E-10,9.27E-10,3.37E-10,5.48E-10,1.07E-09,3.37E-10,7.59E-10,-4.21E-10,-4.21E-10,-5.90E-10,8.43E-10,9.27E-10,-8.43E-11,6.74E-10,-7.16E-10,9.27E-10,-0.148006305,0.089868181,-0.077440842,-0.103861688,0.025818647,-0.000324447,21.54836423,16.52520996,19.64050527,20.11006036,19.77072452,18.5712644,48.03621049,1
161.4990234,0.42105666,0.32707438,0.4530703,0.51186013,0.36358252,0.40049005,0.32111308,0.38409466,0.27094254,0.2564004,0.26703256,0.28072923,0.11947445,2710.007637,2737.098359,5935.649558,0.112973795,-99.71884,78.15646,0.47340977,14.92203,-5.5515685,6.03048,-1.413516,2.7827096,-10.947151,7.127246,-6.5056076,2.917947,-4.5972633,-0.2580991,-10.952491,4.4345202,-8.210495,3.3459682,-5.842974,5.895174,0.013943687,-0.002319592,0.001229806,0.000666406,0.000299345,0.000615026,0.000641132,0.000933344,0.000159487,-0.000483546,-0.000614995,0.000721178,4.67E-05,-0.000417619,1.83E-05,7.94E-05,-0.000293063,-0.000405113,-0.000855466,-0.000144433,-0.016241031,0.085934564,0.04056642,0.019695943,-1.55E-05,0.012325839,18.25133234,14.12902675,17.1662655,16.45358433,17.08497553,17.5663932,59.86575421,1
123.046875,0.35229638,0.28178626,0.3413981,0.3208617,0.4757106,0.2990283,0.20889993,0.29003143,0.3680666,0.50078636,0.3375058,0.30361906,0.1957839,2464.833406,2589.180327,5342.137222,0.110561971,-60.70098,84.08095,-7.8146415,7.192867,1.5478246,-0.09467172,-4.775287,0.48068693,-6.561109,0.424363,-7.5990653,1.0643009,-5.7129707,1.5931344,-0.96589744,0.3381985,-0.7748459,4.881173,-3.1613102,0.10145916,-0.007653195,-0.008221534,-0.006035326,-0.002546704,-0.004191052,-0.000312909,-0.000813592,-0.000866682,-0.00010461,-0.000598718,-0.000818908,-0.001001906,2.53E-05,0.001256106,-0.000348005,-3.68E-05,0.000609942,-0.000391539,-0.000393314,0.00067751,0.074074171,0.003922975,-0.069012652,0.062403676,-0.009003016,0.016194785,17.04226975,15.57975589,18.21808911,18.40133715,18.84471798,17.87313348,49.24406435,1
107.6660156,0.3998523,0.32604164,0.41879383,0.35290775,0.30838892,0.31433126,0.2611292,0.28447092,0.26275393,0.37830234,0.3585971,0.36261865,0.23722333,2640.554093,2779.395836,5947.14692,0.113950068,-38.98347,80.26679,4.412103,9.592824,6.573627,6.034047,0.54688466,5.70447,-6.151392,-0.18221514,-3.7273066,-3.9820476,-6.13291,-1.3077785,-4.439778,-4.5152817,-6.921134,-0.3158798,-5.2698894,-1.0118055,-1.14E-08,2.85E-09,-1.07E-09,3.57E-10,2.54E-09,1.52E-09,-1.96E-09,-2.68E-10,1.78E-09,1.11E-09,0,-5.80E-10,-1.07E-09,-1.16E-09,1.34E-10,-9.81E-10,1.52E-09,-2.90E-10,-2.68E-10,8.03E-10,0.027278953,0.037677137,-0.004487229,0.00045413,-0.004756289,0.00700913,16.23805392,15.13297712,17.583058,18.17756781,17.96549062,16.92082827,46.55301149,1
135.9991776,0.33504575,0.34719115,0.3542959,0.3260603,0.42274144,0.41540748,0.56405944,0.43351617,0.3575195,0.34956744,0.36080596,0.4423651,0.29210678,2739.725594,2914.124857,6380.114132,0.104577551,-23.932772,74.66956,14.898799,16.186083,9.42775,6.6496067,-1.8991417,7.8382397,-3.8362284,1.2939043,-0.98270637,3.2405725,-2.3246448,0.2742601,-1.7482555,-3.4676604,-3.2071507,5.196838,2.8221753,9.086206,0,-4.32E-09,-7.56E-10,-3.46E-09,-8.64E-10,1.19E-09,-2.16E-10,2.81E-09,-1.35E-09,-1.51E-09,1.67E-09,-1.08E-09,6.48E-10,7.56E-10,-9.72E-10,5.94E-10,1.30E-09,6.48E-10,-5.40E-11,-5.40E-10,0.026571214,-0.044668768,0.012889495,-0.012010479,-0.008385924,-0.007432917,16.84955745,14.10773047,17.16069237,17.56468649,17.73309874,16.46770649,47.02018874,1
99.38401442,0.36011678,0.39022306,0.43855134,0.3545731,0.3936614,0.3320534,0.4352334,0.40789986,0.3991108,0.43036127,0.40737215,0.59332055,0.20310237,2756.526235,2797.615005,6016.667632,0.100417626,-67.49831,78.65439,12.946835,18.50076,9.09759,8.672971,5.7040515,8.550907,-3.26038,8.961817,0.37805015,3.2748258,-0.39001256,1.6066207,-1.1042267,1.5044922,-4.3831573,-1.8058125,-3.9031148,-0.58685625,0.004850853,0.003953136,-0.002861314,0.000539398,-0.001158193,0.000443288,-0.001973337,0.000757335,-0.002817412,-0.000991084,-0.000676457,-0.001668793,-0.000166261,-0.001362999,-0.000890228,-0.001403817,-0.000759963,-0.000161967,0.00120557,-0.00012209,0.077698376,-0.035451866,0.045752126,0.003528648,0.003033163,-0.012534684,20.74213929,15.51850871,17.73372637,18.49477273,17.72922575,17.14025136,48.25530752,1
151.9990809,0.3344003,0.34268785,0.30286422,0.36508662,0.36676303,0.48498884,0.3981492,0.35929704,0.44221422,0.48198727,0.5703312,0.38369524,0.21588956,2907.49866,2809.925315,6277.075171,0.12118921,-43.6651,68.86941,5.955633,23.30503,6.557691,7.3265386,0.7776023,7.107308,-2.925739,7.649047,0.9643189,4.616038,-1.1289749,4.226688,-3.6096332,2.8144076,-4.269382,3.0880353,-3.4595582,1.9449779,0.001061168,0.001486776,0.000957926,0.000306663,-0.000159073,-0.000812954,-0.001061033,-0.001127005,-0.001100737,-0.000659952,-0.000349346,-5.07E-05,0.000283303,0.000296201,0.00036005,0.000315122,8.55E-05,9.54E-05,3.78E-05,0.000100019,-0.067847915,0.021618005,0.016495305,-0.045444886,0.012006491,-0.013341583,21.0914478,14.39452192,17.46071698,16.99404684,17.9053619,17.17011108,48.5347127,1
92.28515625,0.3482886,0.36011013,0.46731737,0.54531246,0.7441802,0.54729366,0.48424718,0.42975286,0.35578972,0.32131705,0.3153391,0.40285206,0.28120083,2240.785685,2588.160326,5008.229006,0.065152761,-74.23831,82.84485,5.705929,26.35687,15.126291,8.957377,6.7426066,12.724293,-0.9176436,15.048645,4.682345,5.886749,-0.63321626,3.3487842,0.50703925,1.9241971,0.8646269,6.152952,4.971685,9.187868,0.001692685,0.001635748,0.000983567,0.00129352,0.001176831,0.000937098,0.001015377,0.00042258,-0.00029381,-1.04E-05,0.000317899,-0.000167429,-0.000583095,-0.000549697,-0.000572502,-0.000396733,-0.000103326,-0.000434666,-0.000772364,-0.000416109,0.073575107,-0.022436674,-0.041753128,0.033155185,-0.022922502,-0.036327049,22.67870075,15.42262811,17.70931031,17.88688084,19.05170654,18.55249864,48.35775889,1
143.5546875,0.43058684,0.4993192,0.37901574,0.4239041,0.46662703,0.28032818,0.26993746,0.31183138,0.49963704,0.4236729,0.41024238,0.44615474,0.32263434,2184.883783,2455.481145,4652.770666,0.072782404,-76.23334,93.43207,7.708888,16.831455,12.024805,3.8755286,5.224145,7.3042374,-7.644426,5.8216705,1.9155649,6.3140535,-2.1582077,2.1640656,-2.5514312,1.2315207,-4.328576,4.3406844,-0.43215984,4.5289493,0.027632834,1.45E-05,-0.001740036,-0.000711151,-0.001497035,0.000191774,-0.002077615,0.000256143,-0.001413205,-0.000145735,-0.001246331,0.000317252,-0.000803198,-0.000941467,4.51E-05,0.000529731,-0.001508973,-0.000370652,-0.001455258,-0.001659641,-0.034331016,-0.134348712,-0.068404341,0.094043586,-0.008064018,-0.018839886,22.00077505,16.90488145,19.78483588,19.44533733,19.29893648,18.96099874,47.63924995,1
112.3471467,0.31528094,0.4311714,0.45476332,0.3241384,0.40509742,0.3001096,0.3954342,0.32486272,0.30163503,0.3255948,0.3127041,0.4155196,0.19253753,2765.873533,2841.765653,6181.238823,0.11744942,-76.76363,76.9996,14.599518,16.75423,10.934958,4.526663,0.7204347,6.439966,-3.8970108,6.739506,-1.4664176,3.2332134,-1.5080366,0.002826292,-3.863781,-4.336805,-6.961289,2.2074065,-4.844886,2.061678,2.46E-06,6.31E-07,-3.23E-06,-1.82E-06,2.57E-06,2.76E-06,-1.56E-06,-3.33E-06,3.39E-07,3.45E-06,9.24E-07,-3.11E-06,-2.06E-06,2.36E-06,2.93E-06,-1.28E-06,-3.39E-06,4.29E-08,3.41E-06,1.21E-06,0.076243527,-0.070050148,0.049095194,-0.030260711,0.00456566,-0.015676741,20.60189212,15.96009698,19.42243713,18.65998682,19.73841567,18.673308,48.28448521,1
